User ID,Agency,Year,Credit Score
8001,Experian,2024,563
8002,Experian,2024,436
8003,Experian,2024,397
8004,Experian,2020,786
8005,Experian,2024,400
8006,TransUnion,2023,302
8007,Equifax,2020,529
8008,Equifax,2022,653
8009,Equifax,2022,425
8010,Experian,2022,519
8011,Experian,2021,358
8012,TransUnion,2020,673
8013,Equifax,2024,417
8014,Experian,2022,610
8015,Equifax,2021,657
8016,Yellow Banana,2024,644
8017,Yellow Banana,2020,472
8018,Equifax,2021,399
8019,Experian,2020,767
8020,Yellow Banana,2020,840
8021,Yellow Banana,2021,396
8022,TransUnion,2021,329
8023,Equifax,2021,628
8024,Yellow Banana,2020,378
8025,Equifax,2022,730
8026,Yellow Banana,2023,526
8027,Experian,2020,633
8028,TransUnion,2023,492
8029,Experian,2024,498
8030,Yellow Banana,2023,479
8031,Experian,2023,559
8032,TransUnion,2024,335
8033,Equifax,2021,488
8034,Equifax,2022,324
8035,Experian,2022,423
8036,Experian,2022,654
8037,Experian,2020,789
8038,Equifax,2022,363
8039,Experian,2023,571
8040,Yellow Banana,2021,579
8041,Equifax,2024,311
8042,TransUnion,2020,595
8043,Yellow Banana,2021,605
8044,Equifax,2022,805
8045,TransUnion,2024,673
8046,Experian,2020,467
8047,Yellow Banana,2020,555
8048,Experian,2024,850
8049,Yellow Banana,2023,775
8050,Equifax,2022,472
8051,Yellow Banana,2023,445
8052,Equifax,2020,496
8053,Yellow Banana,2024,340
8054,TransUnion,2020,604
8055,Yellow Banana,2023,574
8056,Yellow Banana,2024,603
8057,Experian,2022,459
8058,Equifax,2021,750
8059,Experian,2021,463
8060,Experian,2024,705
8061,Experian,2020,556
8062,Yellow Banana,2024,709
8063,Yellow Banana,2024,813
8064,Yellow Banana,2020,301
8065,TransUnion,2023,850
8066,Yellow Banana,2021,404
8067,TransUnion,2024,614
8068,Experian,2022,810
8069,TransUnion,2020,721
8070,Yellow Banana,2020,661
8071,Yellow Banana,2024,710
8072,Yellow Banana,2021,695
8073,Equifax,2021,337
8074,Equifax,2024,375
8075,TransUnion,2020,424
8076,Equifax,2020,361
8077,Equifax,2021,753
8078,Experian,2021,481
8079,Yellow Banana,2024,552
8080,TransUnion,2024,654
8081,TransUnion,2024,436
8082,Yellow Banana,2020,777
8083,Yellow Banana,2022,466
8084,Yellow Banana,2024,663
8085,Equifax,2024,318
8086,Experian,2023,789
8087,Experian,2021,511
